URL                                                                                                                         , Product Title                                                                   , Nutrition and caloric content
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-jd-with-chicken-canned                                      , j/d Wet Dog Food with Chicken                                                   , 337.4 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-kd-plus-mobility-chicken-canned                                               , k/d + Mobility Dog Food                                                         , 377 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-id-stress-mini-chicken-canned                                                 , i/d Stress Wet Dog Food with Chicken                                            , 189.6 kcal (200 g) can
https://www.hillspet.co.uk/dog-food/pd-gastrointestinal-biome-canine-small-bites-dry                                        , Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag                       , 3430 kcal/kg (343 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-senior-vitality-adult-7-plus-small-mini-chicken-rice-dry                      , Senior Vitality Mature Adult Small & Mini Breed Dry Dog Food with Chicken & Rice, 3621 kcal/kg (362 kcal/100g)
https://www.hillspet.co.uk/dog-food/sd-canine-puppy-perfect-digestion-large-breed-chicken-brown-rice-dry                    , Perfect Digestion Puppy Large Breed Dry Dog Food Chicken & Brown Rice           , 3640 kcal/kg (364 kcal/100g)
https://www.hillspet.co.uk/dog-food/sd-canine-puppy-perfect-digestion-small-mini-chicken-brown-rice-dry                     , Perfect Digestion Puppy Small & Mini Dry Dog Food Chicken & Brown Rice          , 3749 kcal/kg (375 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-hypoallergenic-large-breed-adult-salmon-dry                                   , Hypoallergenic Adult Large Breed Dry Dog Food with Salmon                       , 3700 kcal/kg (370 kcal/100g)
https://www.hillspet.co.uk/dog-food/sd-canine-puppy-perfect-digestion-medium-chicken-brown-rice-dry                         , Perfect Digestion Puppy Medium Breed Dry Food Chicken & Brown Rice              , 3710 kcal/kg (371 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-metabolic-plus-mobility-canned                                                , Metabolic + Mobility Weight Management Dog Food                                 , 280 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-hypoallergenic-medium-adult-salmon-dry                                        , Hypoallergenic Adult Medium Breed Dry Dog Food with Salmon                      , 3700 kcal/kg (370 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-hypoallergenic-small-mini-adult-salmon-dry                       , Hypoallergenic Adult Small & Mini Breed Dry Dog Food with Salmon                , 3700 kcal/kg (370 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-on-care-chicken-stew                                                          , On-Care Stew for Dogs                                                           , 909 kcal/kg
https://www.hillspet.co.uk/dog-food/pd-canine-gastrointestinal-biome-with-chicken-canned                                    , Gastrointestinal Biome Wet Dog Food with Chicken                                , "193.2 kcal (200 g) can, 357 kcal (370 g) can"
https://www.hillspet.co.uk/dog-food/pd-canine-on-care-chicken-dry                                                           , On-Care Dry Dog Food                                                            , 4066 kcal/kg (407 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-derm-complete-dry                                                             , Derm Complete Dry Dog Food Original                                             , 3756 kcal/kg (376 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-metabolic-lamb-and-rice-dry                                 , Metabolic Weight Management Dog Food                                            , 3110 kcal/kg (311 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-derm-complete-canned                                                          , Derm Complete Skin Care & Food Sensitivities Wet Dog Food Original Can          , "448 kcal (370 g) can, 448 kcal (370 g) can, 242.4 kcal (200 g) can"
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-6-plus-active-longevity-large-breed-with-chicken-dry, Large Breed Mature Adult Dog Food                                               , 3638 kcal/kg (364 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-metabolic-plus-mobility-mini-dry                                              , Metabolic + Mobility Mini Dog Food                                              , 3199 kcal/kg (320 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-weight-and-active-mobility-large-breed-chicken-dry              , Perfect Weight & Active Mobility Adult Large Dry Dog Food Chicken               , 3212 kcal/kg (321 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-weight-and-active-mobility-small-mini-chicken-dry               , Perfect Weight & Active Mobility Small & Mini Dry Dog Food Chicken              , 3212 kcal/kg (321 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-small-mini-chicken-brown-rice-dry                     , Perfect Digestion Adult Small & Mini Dry Dog Food Chicken & Brown Rice          , 3539 kcal/kg (354 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-adult-small-breed-with-lamb-rice-dry                                          , Multi-Benefit Adult Small & Mini Dry Dog Food                                   , 3705 kcal/kg (371 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-neutereddog-adult-large-breed-dog-food-chicken-dry              , Multi-Benefit + Weight Adult 1+ Large Breed Dry Dog Food                        , 3336 kcal/kg (334 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-healthy-digestive-biome-adult-large-dry                         , Multi-Benefit + Digestion Adult 1+ Large Breed Dry Dog Food                     , 3349 kcal/kg (335 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-healthy-digestive-biome-adult-small-mini-dry                    , Multi-Benefit + Digestion Adult 1+ Small & Mini Dry Dog Food                    , 3349 kcal/kg (335 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-feline-prescription-diet-ad-canned                                            , a/d Dog/Cat Food                                                                , 262 kcal (200 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-medium-breed-chicken-brown-rice-dry                   , Perfect Digestion Medium Adult 1+ Dog Food                                      , 3524 kcal/kg (352 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-neutereddog-adult-small-breed-mini-dog-food-chicken-dry         , Multi-Benefit + Weight Adult 1+ Small & Mini Dry Dog Food                       , 3336 kcal/kg (334 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-chicken-vegetables-canned                             , Perfect Digestion Adult Dog Food                                                , 371 kcal (363 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-derm-complete-mini-dry                                                        , Derm Complete Mini Dog Food                                                     , 3756 kcal/kg (376 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-adult-medium-with-lamb-rice-dry                                               , Multi-Benefit Adult Medium Dry Dog Food                                         , 3705 kcal/kg (370 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-neutereddog-adult-medium-dog-food-chicken-dry                   , Multi-Benefit + Weight Adult 1+ Medium Dry Dog Food                             , 3336 kcal/kg (334 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-small-breed-mini-puppy-food-chicken-dry                         , Multi-Benefit Puppy Small & Mini Dry Food                                       , 3792 kcal/kg (379 kcal/100g)
