URL                                                                                                                         , Product title                                                                   , Product description                                                             , Need/preference, Alternate product recommendation, Flavour                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Sizes                    , Breed sizes                             , Lifestage             , Food form, Key benefits                                           , Recommended for                                                                                                                                                                  , Not recommended for                                                                                                                                                                  , Ingredients                                                                                                                   , Helpful tips                                                                                                               , Nutrition and caloric content
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-small-and-miniature-chicken-dry                            , Puppy Small & Mini Breed Dry Food with Chicken                                  , Puppy Small & Mini Breed Dry Food with Chicken                                  ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "1.5kg, 3kg"             , Small Breed                             , Puppy/pregnant/nursing, Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Puppies up to 1 year old and pregnant or nursing dogs that weigh up to 10kg when full grown.                                                                                     , Adult or mature adult dogs.                                                                                                                                                          , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-gastrointestinal-biome-canine-small-bites-dry                                        , Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag                       , Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag                       ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "1kg, 3kg"               , Small Breed                             , "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-senior-vitality-adult-7-plus-small-mini-chicken-rice-dry                      , Senior Vitality Mature Adult Small & Mini Breed Dry Dog Food with Chicken & Rice, Senior Vitality Mature Adult Small & Mini Breed Dry Dog Food with Chicken & Rice,                ,                                 , with Chicken & Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 6kg                      , Small Breed                             , Senior                , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Mature Adult dogs 7+ years of age that weigh up to 10kg when full grown.                                                                                                         ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sd-canine-puppy-perfect-digestion-large-breed-chicken-brown-rice-dry                    , Perfect Digestion Puppy Large Breed Dry Dog Food Chicken & Brown Rice           , Perfect Digestion Puppy Large Breed Dry Dog Food Chicken & Brown Rice           ,                ,                                 , with Chicken & Brown Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 12kg                     , Large Breed                             , Puppy/pregnant/nursing, Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Large breed puppies (over 25kg when adult) up to 18 months old.                                                                                                                  , Adult or mature adult dogs.                                                                                                                                                          , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sd-canine-puppy-perfect-digestion-small-mini-chicken-brown-rice-dry                     , Perfect Digestion Puppy Small & Mini Dry Dog Food Chicken & Brown Rice          , Perfect Digestion Puppy Small & Mini Dry Dog Food Chicken & Brown Rice          ,                ,                                 , with Chicken & Brown Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 3kg                      , Small Breed                             , Puppy/pregnant/nursing, Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Puppies up to 1 year old and pregnant or nursing dogs.                                                                                                                           , Adult or mature adult dogs.                                                                                                                                                          , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-hypoallergenic-large-breed-adult-salmon-dry                                   , Hypoallergenic Adult Large Breed Dry Dog Food with Salmon                       , Hypoallergenic Adult Large Breed Dry Dog Food with Salmon                       ,                ,                                 , with Salmon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 14kg                     , Large Breed                             , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Adult dogs aged 1-5 years weighing 25kg+ when fully grown                                                                                                                        , "Puppies, pregnant or lactating female dogs or older dogs. Female dogs should be switched toHill's Science PlanPuppy during pregnancy or lactation ."                                , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sd-canine-puppy-perfect-digestion-medium-chicken-brown-rice-dry                         , Perfect Digestion Puppy Medium Breed Dry Food Chicken & Brown Rice              , Perfect Digestion Puppy Medium Breed Dry Food Chicken & Brown Rice              ,                ,                                 , with Chicken & Brown Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 14kg                     , Medium Breed                            , Puppy/pregnant/nursing, Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Puppies up to 1 year old and pregnant or nursing dogs.                                                                                                                           , Adult or mature adult dogs.                                                                                                                                                          , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-metabolic-plus-mobility-canned                                                , Metabolic + Mobility Weight Management Dog Food                                 , Metabolic + Mobility Weight Management Dog Food                                 ,                ,                                 , Original                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 370g                     , "Small Breed, Medium Breed, Large Breed", "Adult, Senior"       , Wet Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-hypoallergenic-medium-adult-salmon-dry                                        , Hypoallergenic Adult Medium Breed Dry Dog Food with Salmon                      , Hypoallergenic Adult Medium Breed Dry Dog Food with Salmon                      ,                ,                                 , with Salmon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "2.5kg, 14kg"            , Medium Breed                            , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Adult dogs aged 1-6 years weighing 11–25 kg when fully grown                                                                                                                     , "Puppies, pregnant or lactating female dogs or older dogs. Female dogs should be switched toHill's Science PlanPuppy during pregnancy or lactation ."                                , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-hypoallergenic-small-mini-adult-salmon-dry                       , Hypoallergenic Adult Small & Mini Breed Dry Dog Food with Salmon                , Hypoallergenic Adult Small & Mini Breed Dry Dog Food with Salmon                ,                ,                                 , with Salmon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 1.5kg                    , Small Breed                             , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Adult dogs aged 1-6 years weighing up to 10 kg when fully grown.                                                                                                                 , "Puppies, or mature adult dogs ( > 6 years of age). Pregnant or nursing dogs. During pregnancy or nursing, dogs should be switched toHill's Science PlanSmall & Mini Puppy food."    , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-on-care-chicken-stew                                                          , On-Care Stew for Dogs                                                           , On-Care Stew for Dogs                                                           ,                ,                                 , with Chicken & added Vegetables                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 354g                     ,                                         , "Adult, Senior"       , Wet Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-gastrointestinal-biome-with-chicken-canned                                    , Gastrointestinal Biome Wet Dog Food with Chicken                                , Gastrointestinal Biome Wet Dog Food with Chicken                                ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "200g, 370g"             ,                                         ,                       ,          , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-on-care-chicken-dry                                                           , On-Care Dry Dog Food                                                            , On-Care Dry Dog Food                                                            ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "1.5kg, 4kg, 10kg"       ,                                         , "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-derm-complete-dry                                                             , Derm Complete Dry Dog Food Original                                             , Derm Complete Dry Dog Food Original                                             ,                ,                                 , Original                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "1.5kg, 4kg, 12kg"       , "Small Breed, Medium Breed, Large Breed", Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-metabolic-lamb-and-rice-dry                                 , Metabolic Weight Management Dog Food                                            , Metabolic Weight Management Dog Food                                            ,                ,                                 , with Lamb & Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 12kg                     , "Small Breed, Medium Breed, Large Breed", "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-derm-complete-canned                                                          , Derm Complete Skin Care & Food Sensitivities Wet Dog Food Original Can          , Derm Complete Skin Care & Food Sensitivities Wet Dog Food Original Can          ,                ,                                 , Original                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "200g, 370g"             , "Small Breed, Medium Breed, Large Breed", "Adult, Senior"       , Wet Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-6-plus-active-longevity-large-breed-with-chicken-dry, Large Breed Mature Adult Dog Food                                               , Large Breed Mature Adult Dog Food                                               ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "14kg, 18kg"             , Large Breed                             , Senior                , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Large breed mature adult dogs 6+ years of age.                                                                                                                                   , "Puppies, pregnant or nursing dogs, or adult dogs ("                                                                                                                                 , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-metabolic-plus-mobility-mini-dry                                              , Metabolic + Mobility Mini Dog Food                                              , Metabolic + Mobility Mini Dog Food                                              ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "1kg, 3kg"               , Small Breed                             , "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-weight-and-active-mobility-large-breed-chicken-dry              , Perfect Weight & Active Mobility Adult Large Dry Dog Food Chicken               , Perfect Weight & Active Mobility Adult Large Dry Dog Food Chicken               ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 12kg                     , Large Breed                             , "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, "Adult dogs 1+ years of age that require fewer calories (i.e. dogs that are less active, neutered or otherwise prone to weight gain)."                                           , "Puppies, pregnant or nursing dogs. During pregnancy or nursing, dogs should be switched toHill's Science PlanPuppy food."                                                           , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-weight-and-active-mobility-small-mini-chicken-dry               , Perfect Weight & Active Mobility Small & Mini Dry Dog Food Chicken              , Perfect Weight & Active Mobility Small & Mini Dry Dog Food Chicken              ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 1.5kg                    , Small Breed                             , "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, "Adult dogs 1+ years of age that require fewer calories (i.e. dogs that are less active, neutered or otherwise prone to weight gain)."                                           , "Puppies, pregnant or nursing dogs. During pregnancy or nursing, dogs should be switched toHill's Science PlanPuppy food."                                                           , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-small-mini-chicken-brown-rice-dry                     , Perfect Digestion Adult Small & Mini Dry Dog Food Chicken & Brown Rice          , Perfect Digestion Adult Small & Mini Dry Dog Food Chicken & Brown Rice          ,                ,                                 , with Chicken and Brown Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 6kg                      , Small Breed                             , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Adult dogs 1 - 6 years to help keep their digestion in balance                                                                                                                   , "Puppies, adult dogs ages 7+, pregnant or nursing dogs. During pregnancy or nursing, dogs should be switched to Hill’sScience PlanPuppy food."                                       , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
