URL                                                                                                                         , Product title                                                                   , Product description                                                             , Need/preference, Alternate product recommendation, Flavour                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Sizes                    , Breed sizes                             , Lifestage             , Food form, Key benefits                                           , Recommended for                                                                                                                                                                  , Not recommended for                                                                                                                                                                  , Ingredients                                                                                                                   , Helpful tips                                                                                                               , Nutrition and caloric content
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-bd-dry                                                      , b/d Brain Ageing Care Dry Dog Food with Chicken Bag                             , b/d Brain Ageing Care Dry Dog Food with Chicken Bag                             ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "3kg, 12kg"              ,                                         ,                       ,          , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ud-dry                                                      , u/d Dry Dog Food Original                                                       , u/d Dry Dog Food Original                                                       ,                ,                                 , Original                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "4kg, 10kg"              ,                                         , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-td-dry                                                      , t/d Dog Food                                                                    , t/d Dog Food                                                                    ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "4kg, 10kg"              , "Small Breed, Medium Breed, Large Breed", "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-oral-care-chicken-dry                                      , Oral Care Adult Dry Dog Food with Chicken                                       , Oral Care Adult Dry Dog Food with Chicken                                       ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "2kg, 12kg"              , Medium Breed                            , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Adult dogs 1+ years of age to help provide protection from plaque and tartar build-up.                                                                                           ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ld-dry                                                      , l/d Dry Dog Food Original                                                       , l/d Dry Dog Food Original                                                       ,                ,                                 , Original                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "1.5kg, 4kg, 10kg"       , "Small Breed, Medium Breed, Large Breed", Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-kd-dry                                                      , k/d Dog Food                                                                    , k/d Dog Food                                                                    ,                ,                                 , Original                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "1.5kg, 4kg, 12kg"       , "Large Breed, Medium Breed, Small Breed", "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-light-large-breed-chicken-dry                              , Light Adult Large Breed Dry Dog Food with Chicken                               , Light Adult Large Breed Dry Dog Food with Chicken                               ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "14kg, 18kg"             , Large Breed                             , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, "Large breed adult dogs 1 - 5 years of age that require fewer calories (i.e. dogs that are less active, neutered or otherwise prone to weight gain)."                            ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-lamb-and-rice-dry                      , Puppy Medium Breed Dry Dog Food with Lamb & Rice                                , Puppy Medium Breed Dry Dog Food with Lamb & Rice                                ,                ,                                 , Lamb and Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "2.5kg, 14kg, 18kg"      , Medium Breed                            , Puppy/pregnant/nursing, Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Puppies up to 1 year old and pregnant or nursing dogs.                                                                                                                           , Adult or mature adult dogs.                                                                                                                                                          , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-medium-savoury-turkey-canned                               , Adult Wet Dog Food with Turkey                                                  , Adult Wet Dog Food with Turkey                                                  ,                ,                                 , with Turkey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 370g                     , "Small Breed, Medium Breed, Large Breed", Adult                 , Wet Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Adult dogs 1 - 6 years of age.                                                                                                                                                   , "Puppies, pregnant or nursing dogs, or mature adult dogs. During pregnancy or nursing, dogs should be switched toHill's Science PlanPuppy food."                                     , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-medium-lamb-and-rice-dry                  , Adult Medium Breed Dry Dog Food with Lamb & Rice                                , Adult Medium Breed Dry Dog Food with Lamb & Rice                                ,                ,                                 , with Lamb & Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "2.5kg, 14kg, 18kg"      , Medium Breed                            , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Adult dogs 1 - 6 years of age.                                                                                                                                                   ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-large-breed-chicken-dry                , Puppy Large Breed Dry Dog Food with Chicken                                     , Puppy Large Breed Dry Dog Food with Chicken                                     ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "2.5kg, 12kg, 16kg"      , Large Breed                             , Puppy/pregnant/nursing, Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Large breed puppies (over 25kg when adult) up to 18 months old.                                                                                                                  , Adult or mature adult dogs.                                                                                                                                                          , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
