    , Breed                     , Disease_x                                           , Count        , Disorder                                                   , Disease_y
 320, french bulldog            , Энетропатии и гастропатии (в том числе инфекционные), 7+3+2+12     , Inherited musculoskeletal disorders                        , Intervertebral disk disease
 321, french bulldog            , Энетропатии и гастропатии (в том числе инфекционные), 7+3+2+12     , Inherited nervous system disorders                         , Intervertebral disk disease
 322, french bulldog            , Энетропатии и гастропатии (в том числе инфекционные), 7+3+2+12     , Inherited respiratory disorders                            , brachycephalic syndrome
 323, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited cardiovascular disorders                         , Mitral valve dysplasia
 324, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
 325, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited eye disorders                                    , Cataracts
 326, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited eye disorders                                    , Entropion
 327, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited eye disorders                                    , "Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)"
 328, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited eye disorders                                    , "Keratoconjunctivitis sicca (KCS) - ""dry eye"""
 329, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited eye disorders                                    , Progressive retinal atrophy
 330, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited gastrointestinal disorders                       , Cleft lip/palate
 331, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited musculoskeletal disorders                        , Patellar luxation
 332, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited musculoskeletal disorders                        , Intervertebral disk disease
 333, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited nervous system disorders                         , Hydrocephalus
 334, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited nervous system disorders                         , Intervertebral disk disease
 335, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited respiratory disorders                            , brachycephalic syndrome
 336, pekingese                 , Энетропатии и гастропатии (в том числе инфекционные), 10+2+7       , Inherited skin disorders                                   , Fold dermatitis/pyoderma
 337, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited blood disorders                                  , Histiocytoma
 338, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited blood disorders                                  , Pyruvate kinase (PK) deficiency
 339, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited blood disorders                                  , von Willebrand's disease
 340, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited cardiovascular disorders                         , Mitral valve dysplasia
 341, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited cardiovascular disorders                         , Portosystemic shunt
 342, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited cardiovascular disorders                         , Sick sinus syndrome
 343, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
 344, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited disorders of the urinary and reproductive systems, Urolithiasis (stones)
 345, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited endocrine disorders                              , Hyperadrenocorticism (Cushing's syndrome)
 346, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , Cataracts
 347, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , Dermoids
 348, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , "Keratoconjunctivitis sicca (KCS) - ""dry eye"""
 349, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , Microphthalmia; ocular dysgenesis
 350, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , Optic nerve hypoplasia and micropapilla
 351, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , Pannus - chronic superficial keratitis
 352, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , Corneal dystrophy
 353, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , Glaucoma
 354, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited eye disorders                                    , Progressive retinal atrophy
 355, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited gastrointestinal disorders                       , Cleft lip/palate
 356, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited gastrointestinal disorders                       , Portosystemic shunt
 357, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited musculoskeletal disorders                        , Elbow dysplasia - OCD of the elbow
 358, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited musculoskeletal disorders                        , Intervertebral disk disease
 359, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited nervous system disorders                         , Deafness
 360, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited nervous system disorders                         , Idiopathic epilepsy
 361, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited nervous system disorders                         , Intervertebral disk disease
 362, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited skin disorders                                   , acanthosis nigricans
 363, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited skin disorders                                   , colour dilution alopecia
 364, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited skin disorders                                   , Cutaneous asthenia (Ehlers-Danlos syndrome)
 365, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited skin disorders                                   , Demodicosis/ Demodectic mange
 366, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited skin disorders                                   , Follicular dysplasias
 367, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited skin disorders                                   , pattern baldness
 368, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited skin disorders                                   , sebaceous adenitis
 369, dachshund                 , Энетропатии и гастропатии (в том числе инфекционные), 7+1+2+6      , Inherited skin disorders                                   , seborrhea
 370, cocker spaniel            , Энетропатии и гастропатии (в том числе инфекционные), 4+1+1+18     ,                                                            , 
 371, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited endocrine disorders                              , Hypothyroidism
 372, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited gastrointestinal disorders                       , Cleft lip/palate
 373, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited immune disorders                                 , Atopy
 374, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited musculoskeletal disorders                        , Hip dysplasia
 375, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited musculoskeletal disorders                        , Patellar luxation
 376, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited skin disorders                                   , Atopy
 377, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited skin disorders                                   , Demodicosis/ Demodectic mange
 378, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited skin disorders                                   , ichthyosis
 379, american pit bull terrier , Энетропатии и гастропатии (в том числе инфекционные), 1+1+11       , Inherited skin disorders                                   , zinc-responsive dermatosis
 380, jack russell terrier      , Энетропатии и гастропатии (в том числе инфекционные), 2+3          ,                                                            , 
 381, poodle                    , Энетропатии и гастропатии (в том числе инфекционные), 4+2+2+2      ,                                                            , 
 382, russian spaniel           , Энетропатии и гастропатии (в том числе инфекционные), 2+1+7        ,                                                            , 
 383, miniature pinscher        , Энетропатии и гастропатии (в том числе инфекционные), 3+1+5        , Inherited cardiovascular disorders                         , Mitral valve dysplasia
 384, miniature pinscher        , Энетропатии и гастропатии (в том числе инфекционные), 3+1+5        , Inherited disorders of the urinary and reproductive systems, Disorders of sexual development - sexual reversal
 385, miniature pinscher        , Энетропатии и гастропатии (в том числе инфекционные), 3+1+5        , Inherited eye disorders                                    , Cataracts
 386, miniature pinscher        , Энетропатии и гастропатии (в том числе инфекционные), 3+1+5        , Inherited eye disorders                                    , Corneal dystrophy
 387, miniature pinscher        , Энетропатии и гастропатии (в том числе инфекционные), 3+1+5        , Inherited eye disorders                                    , Progressive retinal atrophy
 388, miniature pinscher        , Энетропатии и гастропатии (в том числе инфекционные), 3+1+5        , Inherited skin disorders                                   , colour dilution alopecia
 389, miniature pinscher        , Энетропатии и гастропатии (в том числе инфекционные), 3+1+5        , Inherited skin disorders                                   , sebaceous adenitis
 390, maltipoo                  , Энетропатии и гастропатии (в том числе инфекционные), 2+2          ,                                                            , 
 391, chinese shar-pei          , Энетропатии и гастропатии (в том числе инфекционные), 2+6          ,                                                            , 
 392, staffordshire bull terrier, Энетропатии и гастропатии (в том числе инфекционные), 1+2+2        , Inherited eye disorders                                    , Cataracts
 393, staffordshire bull terrier, Энетропатии и гастропатии (в том числе инфекционные), 1+2+2        , Inherited musculoskeletal disorders                        , Hip dysplasia
 394, staffordshire bull terrier, Энетропатии и гастропатии (в том числе инфекционные), 1+2+2        , Inherited respiratory disorders                            , brachycephalic syndrome
 395, staffordshire bull terrier, Энетропатии и гастропатии (в том числе инфекционные), 1+2+2        , Inherited skin disorders                                   , Demodicosis/ Demodectic mange
 396, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited blood disorders                                  , Histiocytosis
 397, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited cardiovascular disorders                         , Subaortic stenosis
 398, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited disorders of the urinary and reproductive systems, Familial kidney disease
 399, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited endocrine disorders                              , Hyperadrenocorticism (Cushing's syndrome)
 400, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited eye disorders                                    , Cataracts
 401, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited eye disorders                                    , Entropion
 402, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited eye disorders                                    , Microphthalmia; ocular dysgenesis
 403, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited eye disorders                                    , Retinal dysplasia
 404, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited eye disorders                                    , Corneal dystrophy
 405, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited eye disorders                                    , Progressive retinal atrophy
 406, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited gastrointestinal disorders                       , Gastric dilatation-volvulus
 407, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited gastrointestinal disorders                       , Pancreatitis
 408, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited musculoskeletal disorders                        , Cervical vertebral instability (Wobbler syndrome)
 409, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited musculoskeletal disorders                        , Elbow dysplasia - OCD of the elbow
 410, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited musculoskeletal disorders                        , Hemivertebra
 411, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited musculoskeletal disorders                        , Hip dysplasia
 412, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited musculoskeletal disorders                        , X-linked muscular dystrophy
 413, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited nervous system disorders                         , Deafness
 414, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited nervous system disorders                         , Leukodystrophies
 415, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited nervous system disorders                         , Neuroaxonal dystrophy
 416, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited nervous system disorders                         , Cervical vertebral instability (Wobbler syndrome)
 417, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited skin disorders                                   , Demodicosis/ Demodectic mange
 418, rottweiler                , Энетропатии и гастропатии (в том числе инфекционные), 9            , Inherited skin disorders                                   , vitiligo
 419, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited blood disorders                                  , Hemophilia
 420, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited blood disorders                                  , Lymphedema
 421, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited cardiovascular disorders                         , Portosystemic shunt
 422, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited cardiovascular disorders                         , Tricuspid valve dysplasia
 423, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited disorders of the urinary and reproductive systems, Fanconi syndrome
 424, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited endocrine disorders                              , Diabetes mellitus
 425, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited eye disorders                                    , Cataracts
 426, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited eye disorders                                    , Ectropion
 427, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited eye disorders                                    , Entropion
 428, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited eye disorders                                    , Microphthalmia; ocular dysgenesis
 429, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited eye disorders                                    , Persistent pupillary membranes (PPM)
 430, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited eye disorders                                    , Retinal dysplasia
 431, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited eye disorders                                    , Corneal dystrophy
 432, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited eye disorders                                    , Progressive retinal atrophy
 433, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited gastrointestinal disorders                       , Cleft lip/palate
 434, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited gastrointestinal disorders                       , Gastric dilatation-volvulus
 435, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited gastrointestinal disorders                       , Portosystemic shunt
 436, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited immune disorders                                 , Atopy
 437, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited musculoskeletal disorders                        , Cervical vertebral instability (Wobbler syndrome)
 438, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited musculoskeletal disorders                        , Elbow dysplasia - OCD of the elbow
 439, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited musculoskeletal disorders                        , Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy
 440, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited musculoskeletal disorders                        , Hip dysplasia
 441, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited musculoskeletal disorders                        , Osteochondrodysplasia - skeletal dwarfism
 442, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited musculoskeletal disorders                        , Panosteitis
 443, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited nervous system disorders                         , Cerebellar abiotrophy(ataxia)
 444, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited nervous system disorders                         , Idiopathic epilepsy
 445, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited nervous system disorders                         , Leukodystrophies
 446, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited nervous system disorders                         , Neuroaxonal dystrophy
 447, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited nervous system disorders                         , Cervical vertebral instability (Wobbler syndrome)
 448, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited skin disorders                                   , acral lick dermatitis (lick granuloma)
 449, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited skin disorders                                   , Atopy
 450, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited skin disorders                                   , Lymphedema
 451, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited skin disorders                                   , sebaceous adenitis
 452, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited skin disorders                                   , seborrhea
 453, labrador retriever        , Энетропатии и гастропатии (в том числе инфекционные), 7+25         , Inherited skin disorders                                   , vitamin A-responsive dermatosis
 454, yorkshire terrier         , Панкреатит                                          , 63           , Inherited cardiovascular disorders                         , Patent ductus arteriosus (PDA)
 455, yorkshire terrier         , Панкреатит                                          , 63           , Inherited cardiovascular disorders                         , Portosystemic shunt
 456, yorkshire terrier         , Панкреатит                                          , 63           , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
 457, yorkshire terrier         , Панкреатит                                          , 63           , Inherited disorders of the urinary and reproductive systems, Urolithiasis (stones)
 458, yorkshire terrier         , Панкреатит                                          , 63           , Inherited endocrine disorders                              , Hyperadrenocorticism (Cushing's syndrome)
 459, yorkshire terrier         , Панкреатит                                          , 63           , Inherited eye disorders                                    , Cataracts
 460, yorkshire terrier         , Панкреатит                                          , 63           , Inherited eye disorders                                    , Entropion
 461, yorkshire terrier         , Панкреатит                                          , 63           , Inherited eye disorders                                    , "Keratoconjunctivitis sicca (KCS) - ""dry eye"""
 462, yorkshire terrier         , Панкреатит                                          , 63           , Inherited eye disorders                                    , Retinal dysplasia
 463, yorkshire terrier         , Панкреатит                                          , 63           , Inherited eye disorders                                    , Corneal dystrophy
 464, yorkshire terrier         , Панкреатит                                          , 63           , Inherited eye disorders                                    , Progressive retinal atrophy
 465, yorkshire terrier         , Панкреатит                                          , 63           , Inherited gastrointestinal disorders                       , Portosystemic shunt
 466, yorkshire terrier         , Панкреатит                                          , 63           , Inherited musculoskeletal disorders                        , Patellar luxation
 467, yorkshire terrier         , Панкреатит                                          , 63           , Inherited nervous system disorders                         , Hydrocephalus
 468, yorkshire terrier         , Панкреатит                                          , 63           , Inherited nervous system disorders                         , Shaker dog syndrome
 469, yorkshire terrier         , Панкреатит                                          , 63           , Inherited respiratory disorders                            , tracheal collapse
 470, yorkshire terrier         , Панкреатит                                          , 63           , Inherited skin disorders                                   , colour dilution alopecia
 471, yorkshire terrier         , Панкреатит                                          , 63           , Inherited skin disorders                                   , congenital hypotrichosis
 472, yorkshire terrier         , Панкреатит                                          , 63           , Inherited skin disorders                                   , dermoid sinus
 473, german shepherd dog       , Панкреатит                                          , 4            ,                                                            , 
 474, russian toy               , Панкреатит                                          , 25           ,                                                            , 
 475, chihuahua                 , Панкреатит                                          , 23           , Inherited blood disorders                                  , Hemophilia
 476, chihuahua                 , Панкреатит                                          , 23           , Inherited cardiovascular disorders                         , Mitral valve dysplasia
 477, chihuahua                 , Панкреатит                                          , 23           , Inherited cardiovascular disorders                         , Patent ductus arteriosus (PDA)
 478, chihuahua                 , Панкреатит                                          , 23           , Inherited cardiovascular disorders                         , Pulmonic stenosis
 479, chihuahua                 , Панкреатит                                          , 23           , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
 480, chihuahua                 , Панкреатит                                          , 23           , Inherited eye disorders                                    , "Keratoconjunctivitis sicca (KCS) - ""dry eye"""
 481, chihuahua                 , Панкреатит                                          , 23           , Inherited eye disorders                                    , Corneal dystrophy
 482, chihuahua                 , Панкреатит                                          , 23           , Inherited eye disorders                                    , Glaucoma
 483, chihuahua                 , Панкреатит                                          , 23           , Inherited eye disorders                                    , Progressive retinal atrophy
 484, chihuahua                 , Панкреатит                                          , 23           , Inherited musculoskeletal disorders                        , Patellar luxation
 485, chihuahua                 , Панкреатит                                          , 23           , Inherited nervous system disorders                         , Chiari-like malformation (CM) and syringomyelia (SM)
 486, chihuahua                 , Панкреатит                                          , 23           , Inherited nervous system disorders                         , Hydrocephalus
 487, chihuahua                 , Панкреатит                                          , 23           , Inherited nervous system disorders                         , Neuroaxonal dystrophy
 488, chihuahua                 , Панкреатит                                          , 23           , Inherited nervous system disorders                         , Spina bifida
 489, chihuahua                 , Панкреатит                                          , 23           , Inherited skin disorders                                   , colour dilution alopecia
 490, chihuahua                 , Панкреатит                                          , 23           , Inherited skin disorders                                   , Demodicosis/ Demodectic mange
 491, chihuahua                 , Панкреатит                                          , 23           , Inherited skin disorders                                   , pattern baldness
 492, german spitz              , Панкреатит                                          , 5            ,                                                            , 
 493, pomeranian                , Панкреатит                                          , 6            , Inherited cardiovascular disorders                         , Patent ductus arteriosus (PDA)
 494, pomeranian                , Панкреатит                                          , 6            , Inherited cardiovascular disorders                         , Sick sinus syndrome
 495, pomeranian                , Панкреатит                                          , 6            , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
 496, pomeranian                , Панкреатит                                          , 6            , Inherited endocrine disorders                              , Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis
 497, pomeranian                , Панкреатит                                          , 6            , Inherited endocrine disorders                              , Hypothyroidism
 498, pomeranian                , Панкреатит                                          , 6            , Inherited eye disorders                                    , Cataracts
 499, pomeranian                , Панкреатит                                          , 6            , Inherited eye disorders                                    , Entropion
 500, pomeranian                , Панкреатит                                          , 6            , Inherited eye disorders                                    , Progressive retinal atrophy
 501, pomeranian                , Панкреатит                                          , 6            , Inherited immune disorders                                 , Cyclic hematopoiesis
 502, pomeranian                , Панкреатит                                          , 6            , Inherited musculoskeletal disorders                        , Patellar luxation
 503, pomeranian                , Панкреатит                                          , 6            , Inherited musculoskeletal disorders                        , Intervertebral disk disease
 504, pomeranian                , Панкреатит                                          , 6            , Inherited nervous system disorders                         , Hydrocephalus
 505, pomeranian                , Панкреатит                                          , 6            , Inherited nervous system disorders                         , Intervertebral disk disease
 506, pomeranian                , Панкреатит                                          , 6            , Inherited respiratory disorders                            , tracheal collapse
 507, pomeranian                , Панкреатит                                          , 6            , Inherited skin disorders                                   , Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis
 508, pomeranian                , Панкреатит                                          , 6            , Inherited skin disorders                                   , sebaceous adenitis
 509, central asian shepherd dog, Панкреатит                                          , 2            ,                                                            , 
 510, siberian husky            , Панкреатит                                          , 3            , Inherited blood disorders                                  , Hemophilia
 511, siberian husky            , Панкреатит                                          , 3            , Inherited cardiovascular disorders                         , Tetralogy of Fallot
 512, siberian husky            , Панкреатит                                          , 3            , Inherited cardiovascular disorders                         , Ventricular septal defect (VSD)
 513, siberian husky            , Панкреатит                                          , 3            , Inherited eye disorders                                    , Cataracts
 514, siberian husky            , Панкреатит                                          , 3            , Inherited eye disorders                                    , Entropion
 515, siberian husky            , Панкреатит                                          , 3            , Inherited eye disorders                                    , Pannus - chronic superficial keratitis
 516, siberian husky            , Панкреатит                                          , 3            , Inherited eye disorders                                    , Corneal dystrophy
 517, siberian husky            , Панкреатит                                          , 3            , Inherited eye disorders                                    , Glaucoma
 518, siberian husky            , Панкреатит                                          , 3            , Inherited eye disorders                                    , Progressive retinal atrophy
 519, siberian husky            , Панкреатит                                          , 3            , Inherited immune disorders                                 , "Lupus erythematosus (systemic, cutaneous/discoid)"
 520, siberian husky            , Панкреатит                                          , 3            , Inherited musculoskeletal disorders                        , Hip dysplasia
 521, siberian husky            , Панкреатит                                          , 3            , Inherited nervous system disorders                         , Degenerative myelopathy
 522, siberian husky            , Панкреатит                                          , 3            , Inherited nervous system disorders                         , Laryngeal paralysis
 523, siberian husky            , Панкреатит                                          , 3            , Inherited nervous system disorders                         , Idiopathic epilepsy
 524, siberian husky            , Панкреатит                                          , 3            , Inherited respiratory disorders                            , Laryngeal paralysis
 525, siberian husky            , Панкреатит                                          , 3            , Inherited skin disorders                                   , Follicular dysplasias
